.ZDS,DesignPro Label File,doc
.SJD,Scrapbook Factory Journal File,doc
.SDT,SmartDraw Template File,doc
.INDT,Adobe InDesign Template,doc
.WWF,World Wide Fund Non-Printable Document,doc
.COV,Fax Cover Page File,doc
.QDF,Label Matrix Label Design,doc
.DCX,FAXserve Fax Document,doc
.TP3,Harvard Graphics DOS Template File,doc
.QXB,QuarkXPress Book File,doc
.PDH,ProntoDoc for Word Browser Display Document Template,doc
.SBK,Scrapbook Factory File,doc
.FRF,Free Report Form File,doc
.ICML,InCopy Document,doc
.NPP,Art Explosion Publisher Pro Document,doc
.RFD,Recogniform Form Designer File,doc
.WPT,Works Template,doc
.MFT,MediaFACE Project Template,doc
.MVTX,MindView Template,doc
.CW,CardWorks Template,doc
.WEBTHEME,iWeb Theme Template,doc
.CL2LYT,Comic Life 2 Layout File,doc
.STUDIO,Silhouette Studio Document,doc
.ISALE,iSale Auction,doc
.GDOCX,Google Drive Document,doc
.ADF,ARIS Express Document,doc
.HFT,HotDocs Form Template,doc
.BIZ,Broderbund Business Card File,doc
.INDB,Adobe InDesign Book File,doc
.QXT,QuarkXPress Template,doc
.DMTEMPLATE,Direct Mail Template,doc
.SPUB,Swift Publisher Document,doc
.CNDX,Avery DesignPro for Mac Label File,doc
.CSZ,Cornerstone Document Template,doc
.PDWR,ProntoDoc for Word Conventional Document,doc
.PA,Print Artist Project,doc
.FPE,Free PDF Editor Document,doc
.FRDOC,FineReader Document,doc
.SIMP,Software Ideas Modeler Project,doc
.MTC,Make the Cut! Project,doc
.ZFX,ZipForm File,doc
.MVD,MindView OS X Document,doc
.OO3TEMPLATE,OmniOutliner Template,doc
.CLKB,Clicker Books File,doc
.PM4,PageMaker 4 Document,doc
.BRO,CreataCard Brochure Project,doc
.COMIC,Comic Life Comic,doc
.HPD,HotDocs PDF Document,doc
.GEM,Ventura Publisher Document,doc
.AO,ActionOutline Outline File,doc
.SCUT4,Easy Cut Studio Project,doc
.HWDT,Thinkfree Office NEO Word Template,doc
.BPF,Baan ERP Document,doc
.LAB,WordPerfect Label Definition File,doc
.CRTR,MultiAd Creator Pro Document,doc
.CPY,eCopy Desktop File,doc
.RWT,ReadWriteThink Printing Press Draft,doc
.BOOKTEMPLATE,BookSmart Template,doc
.FRM,ADL Form,doc
.PDS,The Print Shop Project,doc
.INCT,InCopy Template,doc
.INDP,Adobe InDesign CS3 Package File,doc
.IDPK,Adobe InDesign Package for GoLive File,doc
.RPTR,RafflePrinter Document,doc
.LMA,Logo! UDF File,doc
.JWC,JewelCase Maker File,doc
.SMA,SmartPlant Enhanced Report,doc
.JSD,HP JetSuite Document,doc
.FLW,Kivio Flow Chart,doc
.FP,FinePrint File,doc
.KITSP,KIT Scenarist Project,doc
.INLX,Adobe InDesign Interchange Library,doc
.CVW,CaseView Document,doc
.CLKBD,Clicker Board Set,doc
.WCP,WinCHM Project File,doc
.MINDER,Minder Mind Map,doc
.ISPX,iStudio Publisher Document,doc
.CADOC,Clicker App Document,doc
.PDW,ProntoDoc for Word Conventional Document Template,doc
.ADB,Now Contact Address Book Template,doc
.PDP,Adobe Portable Document Format File,doc
.MCSX,My Craft Studio Professional File,doc
.PJL,Printer Job Language File,doc
.TOTALSLAYOUT,Totals Invoice Layout File,doc
.FDT,FormDocs Template,doc
.PDE,ProntoDoc for Excel Document Template,doc
.ANTMPL,Adobe Edge Animate Template File,doc
.ISALLIC,iSale License File,doc
.PDZ,ProntoDoc for Word Structured Text Document Template,doc
.JTX,XPS Document,doc
.MBBK,ManaBook Book Kit File,doc
.ADF,Actual Drawing File,doc
.AB,Google Android Debug Bridge backup,backup
.ABK,Ability Write document backup,backup
.ABK,CorelDRAW automatic backup file,backup
.ABKPRJ,Ashampoo Burning Studio backup project file,backup
.ABU,ASUS Backup backup data,backup
.ABU1,ASUS ZenFone backup,backup
.ACD-BAK,ACID Pro project backup,backup
.ACR,Acer eRecovery Management backup,backup
.ADI,AOMEI Backupper disk backup,backup
.ADK,OS/2 saved SKF format,backup
.AEA,Google AdWords Editor archive,backup
.AFI,AOMEI Backupper backup archive,backup
.AFZ,Family Tree backup,backup
.AJA,Backup revision control archive file,backup
.AJL,CA ARCserve backup journal,backup
.AMK,AceMoney backup,backup
.ANTS,Tansee Transfer backup,backup
.ARC,Nokia backup archive,backup
.ARC,Norton backup archive,backup
.ARM,MySQL archive storage engine metadata,backup
.ARZ,MySQL archive storage engine data,backup
.ASD,Microsoft Word auto-save document,backup
.ASHBAK,Ashampoo Burning Studio backup archive,backup
.ASHDISC,Ashampoo disk image file,backup
.ASV,Generic autosave,backup
.ASV,QuarkXpress autosave file,backup
.ATE,Microsoft Office Accounting compressed backup,backup
.AVK,Avigilon backup,backup
.AVZ,AviSys backup,backup
.AWB,Ad-Aware backup,backup
.BAC,Backup Plus backup,backup
.BACKUP,Google Android backup,backup
.BACKUPDB,Apple Time Machine backup folder,backup
.BAK,Generally a backup created by various software applications,backup
.BAK,TED5 backup,backup
.BAK~,AbiWord auto-saved document,backup
.BAK1,Backup format,backup
.BAK3,Crysis backup,backup
.BAKX,Finale backup,backup
.BAZ,Acomba Accounting Suite backup,backup
.BB,Papyrus database backup,backup
.BBB,BlackBerry backup (post 2012),backup
.BBK,TreePad backup file,backup
.BBZ,BeBuzz backup,backup
.BC6,Cashflow Manager 2006 backup,backup
.BC7,Cashflow Manager 2007 backup,backup
.BC8,Cashflow Manager backup,backup
.BC9,Cashflow Manager backup,backup
.BCA,Allplan backup catalog,backup
.BCK,VMX backup,backup
.BCKP,Ad-Aware quarantined data,backup
.BCM,Microsoft Works communications script backup,backup
.BDB,Microsoft Works database backup,backup
.BDB,QuickBooks timer backup file,backup
.BDC,SmartWare Word Processor backup file,backup
.BFF,AIX backup,backup
.BFS,IBM Tivoli Storage Manager data,backup
.BFW,SmartWare backup cross-tab data,backup
.BJF,NTI Backup Now data,backup
.BK,Samsung Notes backup,backup
.BK0,Aspen HYSYS backup file,backup
.BK1,Corel WordPerfect document backup,backup
.BK1,CA ERwin Data Modeler backup,backup
.BK1,Autodesk AutoCAD backup,backup
.BK1,FlashGet database backup,backup
.BK2,Corel WordPerfect document backup,backup
.BK3,Corel WordPerfect document backup file,backup
.BK4,Corel WordPerfect document backup file,backup
.BK5,Corel WordPerfect document backup file,backup
.BK6,Corel WordPerfect document backup file,backup
.BK7,Corel WordPerfect document backup file,backup
.BK8,Corel WordPerfect document backup file,backup
.BK9,Corel WordPerfect document backup file,backup
.BKC,Backup4all catalog,backup
.BKF,Microsoft backup,backup
.BKI,IBM BookManager backup index,backup
.BKO,Wisco Backup Outlook backup,backup
.BKP,Backup,backup
.BKPI,Synology Hyper Backup image,backup
.BKS,Microsoft Works spreadsheet document backup,backup
.BKS,IBM BookManager read bookshelf backup,backup
.BKU,Timeslips backup,backup
.BKUP,Wherigo cartridge backup,backup
.BKY,SmartWare backup keyboard file,backup
.BKZ,FileFort backup,backup
.BLEND1,Blender backup,backup
.BLEND2,Blender document backup,backup
.BM3,Sony Ericsson backup,backup
.BMR,Bare Metal Restore data,backup
.BMS,Backup Magic backup set,backup
.BP0,SmartWare backup project,backup
.BP1,Smartware backup document,backup
.BP2,SmartWare backup project file,backup
.BP3,SmartWare backup project file,backup
.BP4,SmartWare backup project,backup
.BPA,StorageSync backup archive,backup
.BPB,PowerDesigner business process backup,backup
.BPN,ArchiCAD backup,backup
.BPP,Clarion backup application,backup
.BPR,BackupXpress project,backup
.BPS,Microsoft Works document backup,backup
.BPSD,Backup Plus data,backup
.BRZ,Dbbrz database backup or restore data,backup
.BSR,Bacula restore data,backup
.BTX,SmartWare backup text file,backup
.BU,SAP Business One backup data,backup
.BUC,Adobe Photoshop Elements backup,backup
.BUD,Quicken backup disk file,backup
.BUK,MPlayer VOB backup,backup
.BVS,SmartWare backup standard view,backup
.BVW,SmartWare backup standard view data,backup
.BWS,Website X5 project backup,backup
.BWS,SmartWare backup worksheet file,backup
.BZ1,WinTOTAL automatic backup,backup
.C000,Genie Backup Manager compressed split backup,backup
.CAM,HouseCall AUTOEXEC.BAT backup,backup
.CAS,Atari cassette image,backup
.CBK,Delphi temporary backup,backup
.CBK,CardScan backup,backup
.CBK,Giza specifier drawing backup,backup
.CBU,Comodo Backup backup,backup
.CDB,PowerDesigner conceptual model backup,backup
.CDR,Apple Final Cut Pro CD or DVD master image,backup
.CIG,FastBack Plus compressed backup,backup
.CK9,DVN Cook'n cookbook backup,backup
.CKP,Microsoft SQL Server checkpoint,backup
.CLN,Microsoft Windows 3.x configuration backup,backup
.CMB,Chromeleon backup archive,backup
.CMB,QIP Infium contact list backup file,backup
.CMF,HP Connected Backup backup,backup
.CMP,Microsoft SharePoint Server backup,backup
.CPS,Central Point PC Tools backup,backup
.CPS,QEMM backup,backup
.CRASHED,AbiWord crash-saved document,backup
.CRDS,Microsoft Windows CardSpace backup,backup
.CRYPT1,WhatsApp Messenger encrypted backup,backup
.CSD,Valve Steam game backup,backup
.CSM,Valve Steam game backup,backup
.CTF,ARCserve Backup backup file,backup
.CTX,Microsoft Windows Terminal Server INI backup,backup
.CTX,Nokia PC Suite backup contact,backup
.CTZ,Custody Toolbox compressed backup,backup
.CVT,dBASE IV backup,backup
.DA0,Microsoft Windows 9x registry backup file,backup
.DA1,Windows Registry backup file,backup
.DAT_MCR,Minecraft backup,backup
.DAT_OLD,Minecraft backup,backup
.DATA,Acronis True Image continuous data protection backup,backup
.DATBAK0,Miranda data file backup,backup
.DBE,ActiveSync backup file format,backup
.DBK,Sony Ericsson mobile phone backup,backup
.DBK,OrCAD schematic capture backup,backup
.DBK,dBase database backup,backup
.DBK,Treepad database backup,backup
.DBQ,SmartWare backup query definition,backup
.DELETED,Deleted file,backup
.DIM,Active@ Disk Image backup,backup
.DIR,CPS backup,backup
.DIY,My Drivers backup file,backup
.DKB,DataKeeper backup,backup
.DL_,Microsoft Windows DLL backup,backup
.DMBK,Document Manager backup,backup
.DMD,DreamMail backup,backup
.DMF,Packed Amiga disk image file,backup
.DNA,CA Backup and Migration backup,backup
.DOS,Microsoft Windows 95 / MS-DOS system files backup,backup
.DPB,DVD Profiler backup,backup
.DRSCAN,Prosoft Engineering Data Rescue scan data,backup
.DRT,EPOS data recovery tool working file,backup
.DS$,AutoCAD sheet set data backup,backup
.DSB,DiscSafe backup,backup
.DSB,Dell DataSafe Local Backup archive,backup
.DSK,MSX-DOS disk image,backup
.DSK,Microsoft Windows XP system restore backup,backup
.DSS,Synology DiskStation DSM configuration settings backup file,backup
.DT6,Brother's Keeper 6 backup,backup
.EBF,EARS definition backup,backup
.EBI,The Bat! messages encrypted backup,backup
.EBK,Outlook Express Backup Genie backup,backup
.EBK,Kryptel backup,backup
.ECB,EccoPro database backup,backup
.ECBK,LG PC Suite calendar backup,backup
.EDK,OS/2 saved SKF format,backup
.EG,Image It backup disk image,backup
.ENZ,Cobian Backup encrypted data,backup
.EWB,Ewisoft eCommerce Builder backup file,backup
.EX,CeQuadrat backup,backup
.EX_,Compressed EXE file,backup
.EXCLUDE,WOW! backup,backup
.EXTZ,Extron PCS configuration backup,backup
.EZC,AutoCAD ecscad component backup,backup
.EZP,AutoCAD ecscad project backup,backup
.FB,DR-DOS backup,backup
.FBC,Family Tree compressed backup,backup
.FBF,Free Backup Fix backup,backup
.FBK,Microsoft Navision financial backup,backup
.FBU,FEBE Firefox add-in ZIP backup,backup
.FCSTD1,FreeCAD document backup,backup
.FEZ,FUND E-Z backup archive,backup
.FFU,Windows Phone full flash update,backup
.FH,Symantec Backup Exec file history,backup
.FIF,SpinRite hard disk fingerprint,backup
.FKC,FBackup catalog,backup
.FLB,VersaPro folder backup,backup
.FPBF,Apple Finder burnable backup folder,backup
.FPT,NovaBACKUP backup database related information,backup
.FRI,Firefox bookmark backup,backup
.FTMB,Family Tree Maker main backup file,backup
.FWB,FileWrangler data file backup,backup
.FWBACKUP,Freeway Pro backup,backup
.FXH,MetaTrader 4 backup,backup
.FZB,form-Z backup,backup
.GB1,Game Maker backup,backup
.GBB,Wiley eGrade gradebook backup,backup
.GBCK,Glary Utilities backup file,backup
.GBK,InterBase database backup,backup
.GBM,Genie Backup Manager archive,backup
.GBP,Genie Backup Manager Pro backup index,backup
.GCB,Google Chrome Backup backup data,backup
.GEB,Sybase PowerDesigner glossary model backup,backup
.GHO,Norton Ghost backup image,backup
.GHS,Norton Ghost backup,backup
.GRB,GRBackPro backup file,backup
.GSBA,GameSave Manager save backup,backup
.GSMS,GameSave Manager settings backup,backup
.GWS,Linksys gateway settings backup,backup
.HBI,Handy Backup backup,backup
.HBK,HTC SMS backup,backup
.HBK,Synology DSM 6.1+ Hyper Backup image,backup
.HBK,Auto Backup backup archive,backup
.HCB,HyperOS compressed backup,backup
.HDB,Nero hard disk backup file,backup
.HDK,MAXI Disk disk image,backup
.HM~,Help&Manual help project backup,backup
.HM4,Lorex backup,backup
.I5D,IUCLID XML backup,backup
.I5S,IUCLID compressed backup,backup
.IAB,Automatic Backup image,backup
.IAB,DB/TextWorks image annotation list backup,backup
.IBAK,Password Safe backup,backup
.IBF,Instant Backup Archive backup archive,backup
.IBZ,MySQL InnoDB database table compressed backup,backup
.ICBU,Apple iCal backup,backup
.ICHAT,Apple iChat saved history,backup
.IMA,Floppy disk image,backup
.IMA,WinImage backup file,backup
.IMAGE,ShrinkWrap disk image,backup
.IMG,"Disk Copy, ShrinkWrap disk image",backup
.IMM,IncrediMail deleted email messages list,backup
.IN0,INI file backup,backup
.IN1,INI file backup,backup
.INC,Microsoft Backup incremental backup,backup
.IOBIT,Advanced SystemCare PRO backup,backup
.IPD,BlackBerry backup (pre 2012),backup
.IPE,Wacom Pen system.ini and win.ini backup,backup
.ISO,CD/DVD/HD DVD/Blu-ray disc ISO binary image,diskimage
.IV2I,Norton Ghost disk drive image,backup
.J01,Akeeba Backup multi-part backup,backup
.JAF,Just A Frequency Logger backup file,backup
.JBACKUP,The Journal backup archive,backup
.JBK,Juno backup file,backup
.JBK,Jot+ Notes backup,backup
.JPA,Joomla installation backup,backup
.JPS,Akeeba Backup backup archive,backup
.JRS,Extensible Storage Engine (ESE) reserve transaction log,backup
.JSON,Mozilla Firefox bookmark backup,backup
.JSONLZ4,Mozilla Firefox compressed bookmark backup,backup
.JTBACKUP,Just Type notes backup,backup
.JWC,JewelCase Maker saved data,backup
.KB2,Carroll-Net Kleo backup,backup
.KBB,BestCrypt Key Block Backup,backup
.KEY-BACKUPBYHDINSPECTORPORTABLE,Hard Drive Inspector Windows Registry key backup,backup
